Match Number,Round Number,Date,Location,Home Team,Away Team,Result
213,24,03/03/2024 09:00,Stade de la Beaujoire,FC Nantes,FC Metz,
214,24,03/03/2024 09:00,Stade Auguste Delaune,Stade de Reims,LOSC Lille,
215,24,03/03/2024 09:00,Roazhon Park,Stade Rennais FC,FC Lorient,
216,24,03/03/2024 09:00,Stadium de Toulouse,Toulouse FC,OGC Nice,
217,25,10/03/2024 10:00,Stade Océane,Havre AC,Toulouse FC,
218,25,10/03/2024 10:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,
219,25,10/03/2024 10:00,Stade Pierre-Mauroy,LOSC Lille,Stade Rennais FC,
220,25,10/03/2024 10:00,Stade du Moustoir,FC Lorient,Olympique Lyonnais,
221,25,10/03/2024 10:00,Stade Vélodrome,Olympique de Marseille,FC Nantes,
222,25,10/03/2024 10:00,Stade Saint-Symphorien,FC Metz,Clermont Foot 63,
223,25,10/03/2024 10:00,Stade de Nice,OGC Nice,Montpellier Hérault SC,
224,25,10/03/2024 10:00,Parc des Princes,Paris Saint-Germain,Stade de Reims,
225,25,10/03/2024 10:00,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,
226,26,17/03/2024 10:00,Stade Francis-Le Blé,Stade Brestois 29,LOSC Lille,
227,26,17/03/2024 10:00,Stade Gabriel Montpied,Clermont Foot 63,Havre AC,
228,26,17/03/2024 10:00,Stade Bollaert-Delelis,RC Lens,OGC Nice,
229,26,17/03/2024 10:00,Stade Louis II,AS Monaco,FC Lorient,
230,26,17/03/2024 10:00,Stade de la Mosson,Montpellier Hérault SC,Paris Saint-Germain,
231,26,17/03/2024 10:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,
232,26,17/03/2024 10:00,Stade Auguste Delaune,Stade de Reims,FC Metz,
233,26,17/03/2024 10:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,
234,26,17/03/2024 10:00,Stadium de Toulouse,Toulouse FC,Olympique Lyonnais,
235,27,31/03/2024 09:00,Stade Gabriel Montpied,Clermont Foot 63,Toulouse FC,
236,27,31/03/2024 09:00,Stade Océane,Havre AC,Montpellier Hérault SC,
237,27,31/03/2024 09:00,Stade Pierre-Mauroy,LOSC Lille,RC Lens,
238,27,31/03/2024 09:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,
239,27,31/03/2024 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade de Reims,
240,27,31/03/2024 09:00,Stade Saint-Symphorien,FC Metz,AS Monaco,
241,27,31/03/2024 09:00,Stade de Nice,OGC Nice,FC Nantes,
242,27,31/03/2024 09:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,
243,27,31/03/2024 14:45,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,
244,28,07/04/2024 09:00,Stade Francis-Le Blé,Stade Brestois 29,FC Metz,
245,28,07/04/2024 09:00,Stade Bollaert-Delelis,RC Lens,Havre AC,
246,28,07/04/2024 09:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,
247,28,07/04/2024 09:00,Stade Louis II,AS Monaco,Stade Rennais FC,
248,28,07/04/2024 09:00,Stade de la Mosson,Montpellier Hérault SC,FC Lorient,
249,28,07/04/2024 09:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,
250,28,07/04/2024 09:00,Parc des Princes,Paris Saint-Germain,Clermont Foot 63,
251,28,07/04/2024 09:00,Stade Auguste Delaune,Stade de Reims,OGC Nice,
252,28,07/04/2024 09:00,Stadium de Toulouse,Toulouse FC,RC Strasbourg Alsace,
253,29,14/04/2024 09:00,Stade Gabriel Montpied,Clermont Foot 63,Montpellier Hérault SC,
254,29,14/04/2024 09:00,Stade Océane,Havre AC,FC Nantes,
255,29,14/04/2024 09:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,
256,29,14/04/2024 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Brestois 29,
257,29,14/04/2024 09:00,Stade Vélodrome,Olympique de Marseille,OGC Nice,
258,29,14/04/2024 09:00,Stade Saint-Symphorien,FC Metz,RC Lens,
259,29,14/04/2024 09:00,Stade Louis II,AS Monaco,LOSC Lille,
260,29,14/04/2024 09:00,Roazhon Park,Stade Rennais FC,Toulouse FC,
261,29,14/04/2024 09:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,
262,30,21/04/2024 09:00,Stade Francis-Le Blé,Stade Brestois 29,AS Monaco,
263,30,21/04/2024 09:00,Stade Océane,Havre AC,FC Metz,
264,30,21/04/2024 09:00,Stade Bollaert-Delelis,RC Lens,Clermont Foot 63,
265,30,21/04/2024 09:00,Stade Pierre-Mauroy,LOSC Lille,RC Strasbourg Alsace,
266,30,21/04/2024 09:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,
267,30,21/04/2024 09:00,Stade de Nice,OGC Nice,FC Lorient,
268,30,21/04/2024 09:00,Stade Auguste Delaune,Stade de Reims,Montpellier Hérault SC,
269,30,21/04/2024 09:00,Stadium de Toulouse,Toulouse FC,Olympique de Marseille,
270,30,21/04/2024 14:45,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,
271,31,28/04/2024 09:00,Stade Gabriel Montpied,Clermont Foot 63,Stade de Reims,
272,31,28/04/2024 09:00,Stade du Moustoir,FC Lorient,Toulouse FC,
273,31,28/04/2024 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,
274,31,28/04/2024 09:00,Stade Vélodrome,Olympique de Marseille,RC Lens,
275,31,28/04/2024 09:00,Stade Saint-Symphorien,FC Metz,LOSC Lille,
276,31,28/04/2024 09:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,
277,31,28/04/2024 09:00,Parc des Princes,Paris Saint-Germain,Havre AC,
278,31,28/04/2024 09:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,
279,31,28/04/2024 09:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,
280,32,04/05/2024 09:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,
281,32,04/05/2024 09:00,Stade Océane,Havre AC,RC Strasbourg Alsace,
282,32,04/05/2024 09:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,
283,32,04/05/2024 09:00,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,
